Year,Launched,Model,Family,Discontinued
1984,24-Jan,Macintosh 128K,Compact,9/10/1984
1984,10-Sep,Macintosh 512K,Compact,4/14/1986
1984,10-Sep,Macintosh 128K (revised),Compact,10/1/1985
1985,1-Jan,Macintosh XL,Compact,4/1/1985
1986,16-Jan,Macintosh Plus,Compact,1/1/1987
1986,14-Apr,Macintosh 512Ke,Compact,10/1/1987
1987,1-Jan,Macintosh Plus (Platinum),Compact,10/15/1990
1987,3-Feb,Macintosh SE,Compact,8/1/1989
1987,2-Mar,Macintosh II,Mac II,1/15/1990
1988,19-Sep,Macintosh IIx,Mac II,10/15/1990
1989,19-Jan,Macintosh SE/30,Compact,10/21/1991
1989,7-Mar,Macintosh IIcx,Mac II,3/11/1991
1989,1-Aug,Macintosh SE FDHD,Compact,10/15/1990
1989,20-Sep,Macintosh IIci,Mac II,2/20/1993
1989,20-Sep,Macintosh Portable,Portable,2/11/1991
1990,19-Mar,Macintosh IIfx,Mac II,4/15/1992
1990,15-Oct,Macintosh LC,LC,3/23/1992
1990,15-Oct,Macintosh Classic,Compact,9/14/1992
1990,15-Oct,Macintosh IIsi,Mac II,3/15/1993
1991,11-Feb,Macintosh Portable (backlit screen),Portable,10/21/1991
1991,21-Oct,Macintosh Classic II,Compact,9/13/1993
1991,21-Oct,Quadra 700,Quadra,3/15/1993
1991,21-Oct,Quadra 900,Quadra,5/18/1992
1991,21-Oct,PowerBook 100,PowerBook,8/3/1992
1991,21-Oct,PowerBook 140,PowerBook,8/3/1992
1991,21-Oct,PowerBook 170,PowerBook,10/19/1992
1992,23-Mar,Macintosh LC II,LC,3/15/1993
1992,18-May,Quadra 950,Quadra,10/14/1995
1992,3-Aug,PowerBook 145,PowerBook,7/7/1993
1992,19-Oct,Macintosh IIvi,Mac II,2/10/1993
1992,19-Oct,Macintosh IIvx,Mac II,10/19/1993
1992,19-Oct,PowerBook 160,PowerBook,8/16/1993
1992,19-Oct,PowerBook 180,PowerBook,5/16/1994
1992,19-Oct,PowerBook Duo 210,PowerBook Duo,10/21/1993
1992,19-Oct,PowerBook Duo 230,PowerBook Duo,7/27/1994
1993,10-Feb,Macintosh LC III / III+,LC,2/14/1994
1993,10-Feb,Macintosh Color Classic,Compact,5/16/1994
1993,10-Feb,Centris 610,Centris,10/21/1993
1993,10-Feb,Centris 650,Centris,10/21/1993
1993,10-Feb,Quadra 800,Quadra,3/14/1994
1993,10-Feb,PowerBook 165c,PowerBook,12/13/1993
1993,22-Mar,Workgroup Server 80,Workgroup Server,10/17/1995
1993,22-Mar,Workgroup Server 95,Workgroup Server,4/3/1995
1993,7-Jun,PowerBook 145b,PowerBook,7/18/1994
1993,7-Jun,PowerBook 180c,PowerBook,3/14/1994
1993,28-Jun,Macintosh LC 520,LC,2/2/1994
1993,26-Jul,Workgroup Server 60,Workgroup Server,10/17/1995
1993,29-Jul,Centris / Quadra 660AV,Centris / Quadra,9/12/1994
1993,29-Jul,Quadra 840AV,Quadra,7/18/1994
1993,16-Aug,PowerBook 165,PowerBook,7/18/1994
1993,10-Oct,Macintosh Color Classic II,Compact,11/1/1995
1993,21-Oct,Macintosh TV,LC,2/1/1995
1993,21-Oct,Quadra 605,Quadra,10/17/1994
1993,21-Oct,Quadra 610,Quadra,7/18/1994
1993,21-Oct,Quadra 650,Quadra,9/12/1994
1993,21-Oct,PowerBook Duo 250,PowerBook Duo,5/16/1994
1993,21-Oct,PowerBook Duo 270c,PowerBook Duo,5/16/1994
1994,2-Feb,Macintosh LC 550,LC,3/23/1995
1994,2-Feb,Macintosh LC 575,LC,4/3/1995
1994,14-Mar,Power Macintosh 6100,Power Macintosh,5/18/1996
1994,14-Mar,Power Macintosh 7100,Power Macintosh,1/6/1996
1994,14-Mar,Power Macintosh 8100,Power Macintosh,8/14/1996
1994,26-Apr,Workgroup Server 6150,Workgroup Server,10/1/1995
1994,26-Apr,Workgroup Server 8150,Workgroup Server,2/26/1996
1994,26-Apr,Workgroup Server 9150,Workgroup Server,2/26/1996
1994,16-May,PowerBook 520/c,PowerBook 500,9/16/1995
1994,16-May,PowerBook 540/c,PowerBook 500,8/16/1995
1994,16-May,PowerBook 550,PowerBook 500,4/1/1996
1994,16-May,PowerBook Duo 280,PowerBook Duo,11/14/1994
1994,16-May,PowerBook Duo 280c,PowerBook Duo,1/1/1996
1994,18-Jul,Quadra 630,Quadra,4/17/1995
1994,18-Jul,PowerBook 150,PowerBook,10/14/1995
1995,28-Jan,Power Macintosh 6200 / 6300,Power Macintosh,10/17/1996
1995,3-Apr,Macintosh LC 580,LC,10/1/1995
1995,3-Apr,Performa 5200,Performa,10/1/1996
1995,19-Jun,Power Macintosh 9500,Power Macintosh,2/17/1997
1995,7-Aug,Power Macintosh 7200,Power Macintosh,4/1/1996
1995,7-Aug,Power Macintosh 7500,Power Macintosh,2/17/1997
1995,7-Aug,Power Macintosh 8500,Power Macintosh,2/17/1997
1995,28-Aug,PowerBook 190,PowerBook,9/1/1996
1995,28-Aug,PowerBook 5300,PowerBook,9/1/1996
1995,28-Aug,PowerBook Duo 2300c,PowerBook Duo,2/1/1997
1996,15-Feb,Apple Network Server 500*,Network Server,4/1/1997
1996,15-Feb,Apple Network Server 700/150*,Network Server,4/1/1997
1996,26-Feb,Workgroup Server 7250,Workgroup Server,4/21/1997
1996,26-Feb,Workgroup Server 8550,Workgroup Server,4/21/1997
1996,10-Mar,Performa 5260 / 5300,Performa,4/1/1997
1996,1-Apr,Performa 5400,Performa,2/17/1997
1996,1-Apr,Power Macintosh 7600,Power Macintosh,10/1/1997
1996,16-Oct,Apple Network Server 700/200*,Network Server,4/1/1997
1996,17-Oct,Performa 6360,Performa,10/1/1997
1996,23-Oct,Performa 6400,Performa,5/1/1997
1996,15-Nov,Power Macintosh 4400,Power Macintosh,10/11/1997
1996,20-Nov,PowerBook 1400,PowerBook,5/6/1998
1997,17-Feb,Power Macintosh 5500,Power Macintosh,3/31/1998
1997,17-Feb,Power Macintosh 6500,Power Macintosh,3/14/1998
1997,17-Feb,Power Macintosh 7300,Power Macintosh,11/10/1997
1997,17-Feb,Power Macintosh 8600,Power Macintosh,2/17/1998
1997,17-Feb,Power Macintosh 9600,Power Macintosh,3/17/1998
1997,17-Feb,PowerBook 3400,PowerBook,3/14/1998
1997,20-Mar,Twentieth Anniversary Macintosh,Power Macintosh,3/14/1998
1997,21-Apr,Workgroup Server 7350,Workgroup Server,3/2/1998
1997,21-Apr,Workgroup Server 9650,Workgroup Server,3/2/1998
1997,8-May,PowerBook 2400c,PowerBook,3/14/1998
1997,10-Nov,Power Macintosh G3 desktop,Power Macintosh,1/5/1999
1997,10-Nov,Power Macintosh G3 minitower,Power Macintosh,1/5/1999
1997,10-Nov,PowerBook G3,PowerBook G3,3/14/1998
1998,31-Jan,Power Macintosh G3 AIO,Power Macintosh,10/17/1998
1998,2-Mar,Macintosh Server G3,Macintosh Server,1/1/1999
1998,6-May,PowerBook G3 series,PowerBook G3,5/10/1999
1998,15-Aug,iMac G3,iMac,5/10/1999
1999,5-Jan,Power Macintosh G3 (Blue & White),Power Macintosh,10/13/1999
1999,5-Jan,Macintosh Server G3 (Blue & White),Macintosh Server,8/31/1999
1999,10-May,"PowerBook G3 (""Lombard"")",PowerBook G3,2/16/2000
1999,21-Jul,iBook,iBook,9/13/2000
1999,31-Aug,Macintosh Server G4,Macintosh Server,7/19/2000
1999,5-Oct,iMac (slot loading),iMac,3/18/2003
1999,13-Oct,Power Mac G4 Graphite,Power Macintosh,7/18/2001
2000,16-Feb,"PowerBook (""Pismo"")",PowerBook G3,1/9/2001
2000,19-Jul,[gvf],Power Macintosh,7/3/2001
2000,13-Sep,iBook (FireWire),iBook,5/1/2001
2001,12-Jan,PowerBook G4 Titanium,PowerBook G4,9/16/2003
2001,1-May,iBook (white),iBook,10/22/2003
2001,18-Jul,Power Mac G4 Quicksilver,Power Macintosh,8/13/2002
2001,8-Sep,Server G4 Quicksilver,Macintosh Server,5/14/2002
2002,7-Jan,"iMac G4 15""",iMac,8/31/2004
2002,7-Jan,"iBook (14"")",iBook,10/22/2003
2002,29-Apr,eMac,eMac,7/5/2006
2002,14-May,Xserve,Xserve,2/10/2003
2002,17-Jul,"iMac G4 17""",iMac,8/31/2004
2002,13-Aug,Power Mac G4 MDD,Power Macintosh,6/9/2004
2002,27-Aug,Macintosh Server G4 MDD,Macintosh Server,1/28/2003
2003,7-Jan,"PowerBook G4 Aluminum (12"")",PowerBook G4,5/16/2006
2003,7-Jan,"PowerBook G4 Aluminum (17"")",PowerBook G4,4/24/2006
2003,10-Feb,Xserve slot loading,Xserve,1/6/2004
2003,10-Feb,Xserve Cluster Node,Xserve,1/6/2004
2003,23-Jun,Power Mac G5,Power Macintosh,6/9/2004
2003,16-Sep,"PowerBook G4 Aluminum (15"")",PowerBook G4,2/14/2006
2003,22-Oct,"iBook G4 (12"" / 14"")",iBook,5/16/2006
2003,18-Nov,"iMac G4 20""",iMac,8/31/2004
2004,6-Jan,Xserve G5,Xserve,8/7/2006
2004,6-Jan,Xserve Cluster Node G5,Xserve,8/7/2006
2004,9-Jun,Power Mac G5 FX,Power Macintosh,10/19/2005
2004,31-Aug,"iMac G5 17""",iMac,1/10/2006
2004,31-Aug,"iMac G5 20""",iMac,3/20/2006
2005,11-Jan,Mac mini,Mac mini,2/28/2006
2005,19-Oct,Power Mac G5 dual core,Power Macintosh,8/7/2006
2006,10-Jan,iMac Core Duo,iMac,9/6/2006
2006,14-Feb,"MacBook Pro (15"")",MacBook,2/26/2008
2006,28-Feb,Mac mini Core Solo,Mac mini,9/6/2006
2006,28-Feb,Mac mini Core Duo,Mac mini,8/7/2007
2006,24-Apr,"MacBook Pro (17"")",MacBook,2/26/2008
2006,16-May,MacBook,MacBook,11/8/2008
2006,7-Aug,Mac Pro,Mac Pro,1/8/2008
2006,7-Aug,Xserve (Intel),Xserve,1/8/2008
2006,6-Sep,"iMac 17"" Core 2 Duo",iMac,8/7/2007
2006,6-Sep,"iMac 20"" Core 2 Duo",iMac,8/7/2007
2006,6-Sep,"iMac 24"" Core 2 Duo",iMac,8/7/2007
2006,24-Oct,MacBook Pro (Late 2006),MacBook,6/5/2007
2006,8-Nov,MacBook (Late 2006),MacBook,5/15/2007
2006,29-Jun,5/15/2013,MacBook (Mid 2007),7/23/2007
2006,5-Jun,MacBook Pro (Mid 2007),MacBook,11/1/2007
2006,7-Aug,"iMac 20"" Aluminum",iMac,4/28/2008
2006,7-Aug,"iMac 24"" Aluminum",iMac,4/28/2008
2006,7-Aug,Mac mini Core 2 Duo,Mac mini,3/3/2009
2006,1-Nov,MacBook Pro (Late 2007),MacBook,2/26/2008
2006,1-Nov,MacBook (Late 2007),MacBook,2/26/2008
2008,8-Jan,Xserve Harpertown,Xserve,4/7/2009
2008,8-Jan,Mac Pro Harpertown,Mac Pro,3/3/2009
2008,15-Jan,MacBook Air,MacBook,10/14/2008
2008,26-Feb,MacBook Penryn,MacBook,10/14/2008
2008,26-Feb,"MacBook Pro Penryn 15""",MacBook,10/14/2008
2008,26-Feb,"MacBook Pro Penryn 17""",MacBook,1/6/2009
2008,28-Apr,iMac (early 2008),iMac,3/3/2009
2008,14-Oct,MacBook Air Penryn,MacBook,6/8/2009
2008,14-Oct,MacBook White,MacBook,1/29/2009
2008,14-Oct,MacBook Aluminum,MacBook,6/8/2009
2008,14-Oct,"MacBook Pro (Unibody) 15""",MacBook,6/8/2009
2009,6-Jan,"MacBook Pro (Unibody) 17""",MacBook,6/8/2009
2009,29-Jan,MacBook White (early 2009),MacBook,5/27/2009
2009,3-Mar,Mac mini (early 2009),Mac mini,10/20/2009
2009,3-Mar,iMac (early 2009),iMac,10/20/2009
2009,3-Mar,Mac Pro (early 2009),Mac Pro,8/9/2010
2009,7-Apr,Xserve Nehalem,Xserve,1/31/2011
2009,27-May,MacBook (mid-2009),MacBook,10/20/2009
2009,8-Jun,"MacBook Pro 13"" (Mid 2009)",MacBook,4/13/2010
2009,8-Jun,"MacBook Pro 15"" (Mid 2009)",MacBook,4/13/2010
2009,8-Jun,"MacBook Pro 17"" (Mid 2009)",MacBook,4/13/2010
2009,8-Jun,MacBook Air (Mid 2009),MacBook,9/1/2010
2009,20-Oct,Mac mini (Late 2009),Mac mini,6/15/2010
2009,20-Oct,iMac (Late 2009),iMac,7/27/2010
2009,20-Oct,Macbook (Late 2009),Macbook,5/18/2010
2010,13-Apr,MacBook Pro (Early 2010),MacBook,2/24/2011
2010,18-May,MacBook (Mid 2010),MacBook,7/20/2011
2010,15-Jun,Mac Mini (Mid 2010),Mac Mini,7/20/2011
2010,27-Jul,iMac (Mid 2010),iMac,5/3/2011
2010,9-Aug,Mac Pro (Mid 2010),Mac Pro,6/11/2012
2010,20-Oct,MacBook Air (Late 2010),MacBook,7/20/2011
2011,24-Feb,MacBook Pro (Early 2011),MacBook,10/24/2011
2011,3-May,iMac (Mid 2011),iMac,10/23/2012
2011,20-Jul,MacBook Air (Mid 2011),MacBook,6/11/2012
2011,20-Jul,Mac Mini (Mid 2011),Mac Mini,10/23/2012
2011,24-Oct,MacBook Pro (Late 2011),MacBook Pro,6/11/2012
2012,11-Jun,MacBook Air (Mid 2012),MacBook Air,6/10/2013
2012,11-Jun,MacBook Pro (Mid 2012),MacBook Pro,current
2012,11-Jun,MacBook Pro with Retina display (Mid 2012),MacBook Pro,2/13/2013
2012,11-Jun,Mac Pro (Mid 2012),Mac Pro,current
2012,23-Oct,iMac (Late 2012),iMac,current
2012,23-Oct,MacBook Pro with Retina display (Late 2012),MacBook Pro,2/13/2013
2012,23-Oct,Mac mini (Late 2012),Mac mini,current
2013,13-Feb,MacBook Pro with Retina display (Early 2013),MacBook Pro,10/22/2013
2013,10-Jun,MacBook Air (Mid 2013),MacBook Air,current
2013,22-Oct,MacBook Pro with Retina display (Late 2013),MacBook Pro,current
2013,19-Dec,Mac Pro (Late 2013),Mac Pro,current
